Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
11-10-2020,6077976,108334,7053806,7053806.0,0.0,867496,1.5358233555048153,86.16590816362117,12.298268480874015,74383
12-10-2020,6149535,109150,7120538,7120538.0,0.0,861853,1.5328897900692335,86.36334782568396,12.103762384246808,66732
13-10-2020,6227295,109856,7175880,7175880.0,0.0,838729,1.5309063139294414,86.78092443017442,11.688169255896142,55342
14-10-2020,6301927,110586,7239389,7239389.0,0.0,826876,1.5275598534627715,87.05053699973851,11.421903146798714,63509
15-10-2020,6383441,111266,7307097,7307097.0,0.0,812390,1.5227114133013424,87.35946710437813,11.117821482320544,67708
16-10-2020,6453779,112161,7370468,7370468.0,0.0,804528,1.521762254445715,87.56267580294765,10.91556194260663,63371
17-10-2020,6524595,112998,7432680,7432680.0,0.0,795087,1.5202860879252167,87.78253604352669,10.697177868548087,62212
18-10-2020,6597209,114031,7494551,7494550.0,1.0,783311,1.5215187674351671,88.0267410282484,10.451740204316442,61871
19-10-2020,6663608,114610,7550273,7550273.0,0.0,772055,1.5179583572673465,88.25651734712109,10.225524295611562,55722
20-10-2020,6733328,115197,7597063,7597063.0,0.0,748538,1.5163359840506785,88.6306721426425,9.852991873306829,46790
21-10-2020,6795103,115914,7651107,7651101.0,6.0,740090,1.5149964573753838,88.81202419466882,9.672979347955794,54044
22-10-2020,6874518,116616,7706946,7706946.0,0.0,715812,1.5131285466383182,89.19899010580845,9.287881347553233,55839
23-10-2020,6948497,117306,7761312,7761312.0,0.0,695509,1.5114197187279677,89.52735053042579,8.961229750846249,54366
24-10-2020,7016046,117956,7814682,7814681.0,1.0,680680,1.5094152263649372,89.7803135175558,8.710271256079261,53370
25-10-2020,7078123,118534,7864811,7864811.0,0.0,668154,1.5071436554546573,89.9973692946976,8.495487049847734,50129
26-10-2020,7137228,119014,7909959,7909959.0,0.0,653717,1.5046095687727332,90.2309101728593,8.264480258367964,45148
27-10-2020,7201070,119502,7946429,7946429.0,0.0,625857,1.5038453121521629,90.62020185419136,7.875952833656476,36470
